Title,Title,Category,Price,Instructor,Rating,Learners,Duration_Hours,Difficulty
"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",Coursera,10k-women-4,Free / Paid,Microsoft Learn,4.783382789,337,39,Advanced
Online Course,Coursera,10k-women-4-hi,Free / Paid,IBM Team,4.5,467168,27,Intermediate
"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",Coursera,10k-women-5,Free / Paid,IBM Team,4.676829268,492,37,Advanced
Online Course,Coursera,10k-women-5-hi,Free / Paid,Meta AI,4.9,313996,38,Advanced
"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Coursera,10k-women-6,Free / Paid,Industry Expert,4.608494208,1295,21,Intermediate
Online Course,Coursera,10k-women-6-hi,Free / Paid,Meta AI,3.6,213101,12,Intermediate
"Fundamentals of Operations, with Goldman Sachs 10,000 Women",Coursera,10k-women-7,Free / Paid,Industry Expert,4.625,376,10,Beginner
Online Course,Coursera,10k-women-7-hi,Free / Paid,DeepLearning.AI,4.9,197900,31,Advanced
"Fundamentals of Management, with Goldman Sachs 10,000 Women",Coursera,10k-women-8,Free / Paid,IBM Team,4.72892562,605,40,Advanced
Online Course,Coursera,10k-women-8-hi,Free / Paid,Meta AI,4.6,365989,7,Beginner
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Coursera,10k-women-9,Free / Paid,Microsoft Learn,4.653543307,254,17,Intermediate
Online Course,Coursera,10k-women-9-hi,Free / Paid,Google Cloud,3.6,297001,12,Intermediate
Online Course,Coursera,10k-women-brpt-1,Free / Paid,IBM Team,3.7,218926,46,Advanced
"Fundamentos de NegociaÃ§Ã£o com o 10,000 Women da Goldman Sachs",Coursera,10k-women-brpt-10,Free / Paid,University Faculty,4.924528302,53,44,Advanced
Online Course,Coursera,10k-women-brpt-2,Free / Paid,Industry Expert,4.4,82726,46,Advanced
"Fundamentos de LideranÃ§a com o 10,000 Women da Goldman Sachs",Coursera,10k-women-brpt-3,Free / Paid,Meta AI,4.825688073,109,58,Advanced
Online Course,Coursera,10k-women-brpt-4,Free / Paid,Industry Expert,4.3,498551,16,Intermediate
Online Course,Coursera,10k-women-brpt-5,Free / Paid,Industry Expert,4,271170,6,Beginner
"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",Coursera,10k-women-brpt-6,Free / Paid,University Faculty,4.863636364,66,8,Beginner
Online Course,Coursera,10k-women-brpt-7,Free / Paid,Andrew Ng,4.7,233318,20,Intermediate
Online Course,Coursera,10k-women-brpt-8,Free / Paid,Industry Expert,3.9,125463,47,Advanced
Online Course,Coursera,10k-women-brpt-9,Free / Paid,University Faculty,4.4,315889,25,Intermediate
"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",Coursera,10k-women-esp-1,Free / Paid,IBM Team,4.871287129,101,18,Intermediate
Online Course,Coursera,10k-women-esp-10,Free / Paid,Jose Portilla,3.6,310646,11,Intermediate
Online Course,Coursera,10k-women-esp-2,Free / Paid,University Faculty,3.9,360535,59,Advanced
"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",Coursera,10k-women-esp-3,Free / Paid,University Faculty,4.783783784,111,16,Intermediate
"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",Coursera,10k-women-esp-4,Free / Paid,Google Cloud,4.88372093,86,53,Advanced
"Fundamentos de la PlanificaciÃ³n Financiera con Goldman Sachs 10,000 Women",Coursera,10k-women-esp-5,Free / Paid,Google Cloud,4.666666667,54,13,Intermediate
"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",Coursera,10k-women-esp-6,Free / Paid,University Faculty,4.757281553,206,12,Intermediate
Online Course,Coursera,10k-women-esp-7,Free / Paid,Jose Portilla,4.4,237736,55,Advanced
Online Course,Coursera,10k-women-esp-8,Free / Paid,Google Cloud,5,60436,27,Intermediate
Online Course,Coursera,10k-women-esp-9,Free / Paid,Industry Expert,4.1,37869,49,Advanced
Online Course,Coursera,10k-women-fra-1,Free / Paid,Microsoft Learn,3.5,262602,13,Intermediate
Online Course,Coursera,10k-women-fra-10,Free / Paid,Meta AI,4.2,223762,59,Advanced
Online Course,Coursera,10k-women-fra-2,Free / Paid,University Faculty,3.7,456630,35,Advanced
Online Course,Coursera,10k-women-fra-3,Free / Paid,Meta AI,4.9,94635,51,Advanced
Online Course,Coursera,10k-women-fra-4,Free / Paid,Microsoft Learn,4.9,237419,18,Intermediate
Online Course,Coursera,10k-women-fra-5,Free / Paid,Microsoft Learn,4.5,373573,38,Advanced
Online Course,Coursera,10k-women-fra-6,Free / Paid,Industry Expert,3.9,487220,31,Advanced
Online Course,Coursera,10k-women-fra-7,Free / Paid,Andrew Ng,4.4,278644,50,Advanced
Online Course,Coursera,10k-women-fra-8,Free / Paid,Jose Portilla,3.9,48502,10,Beginner
Online Course,Coursera,10k-women-fra-9,Free / Paid,Andrew Ng,4.5,426735,44,Advanced
"Digital Marketing Strategy with Goldman Sachs 10,000 Women",Coursera,10kw-digital-marketing,Free / Paid,IBM Team,4.702643172,908,42,Advanced
"Innovation Strategy with Goldman Sachs 10,000 Women ",Coursera,10kw-innovation-strategy,Free / Paid,Google Cloud,4.722891566,83,14,Intermediate
"Social Impact Strategy with Goldman Sachs 10,000 Women",Coursera,10kw-social-impact,Free / Paid,DeepLearning.AI,4.779411765,68,9,Beginner
"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",Coursera,2-speed-it,Free / Paid,DeepLearning.AI,4.322368421,152,23,Intermediate
20ä¸çºªè¥¿æ¹é³ä¹ Western Music in the 20th Century,Coursera,20cnwm,Free / Paid,DeepLearning.AI,4.471698113,53,34,Advanced
21st Century Energy Transition: how do we make it work?,Coursera,21st-century-energy-transition,Free / Paid,University Faculty,4.792079208,101,5,Beginner
å·¥ç¨åå­¸ 2D CAD,Coursera,2d-cad,Free / Paid,Microsoft Learn,4.762331839,223,49,Advanced
VR and 360 Video Production,Coursera,360-vr-video-production,Free / Paid,IBM Team,4.655133929,896,57,Advanced
Foundations of Human Anatomy and Physiology,Coursera,3d-anatomy-physiology-foundations-interactive-course,Free / Paid,Google Cloud,4.939393939,33,12,Intermediate
Online Course,Coursera,3d-animation-in-unreal-engine-create-an-original-character,Free / Paid,Meta AI,3.9,236559,8,Beginner
å·¥ç¨åå­¸ 3D CAD,Coursera,3d-cad,Free / Paid,Jose Portilla,4.819148936,94,55,Advanced
3D CAD Application,Coursera,3d-cad-application,Free / Paid,Google Cloud,4.833333333,162,50,Advanced
3D CAD Fundamental,Coursera,3d-cad-fundamental,Free / Paid,Jose Portilla,4.603576751,671,23,Intermediate
Online Course,Coursera,3d-cardiovascular-anatomy-physiology-interactive-course,Free / Paid,Microsoft Learn,3.7,9183,34,Advanced
Online Course,Coursera,3d-character-design-workshop-with-nomad-sculpt,Free / Paid,Jose Portilla,4,445671,47,Advanced
"3D Design in Blender: Learn, Create & Build",Coursera,3d-design-blender-learn-create-build,Free / Paid,Andrew Ng,5,12,15,Intermediate
Online Course,Coursera,3d-design-in-unreal-engine-create-a-realistic-environment,Free / Paid,IBM Team,4.5,217712,29,Intermediate
Current Gen 3D Game Prop Production,Coursera,3d-game-prop-production,Free / Paid,Google Cloud,4.803921569,51,31,Advanced
Online Course,Coursera,3d-gastrointestinal-anatomy-physiology-interactive-course,Free / Paid,Jose Portilla,4,289450,39,Advanced
3D Graphics in Android: Sensors and VR,Coursera,3d-graphics-android-sensors-vr,Free / Paid,DeepLearning.AI,4.625,16,27,Intermediate
Online Course,Coursera,3d-graphics-directx-apply-integrate,Free / Paid,Andrew Ng,4.1,413647,15,Intermediate
3D Interaction Design in Virtual Reality,Coursera,3d-interaction-design-virtual-reality,Free / Paid,DeepLearning.AI,4.592592593,135,21,Intermediate
Online Course,Coursera,3d-lighting-101-with-nomad-sculpt,Free / Paid,Microsoft Learn,4.8,334894,49,Advanced
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,Coursera,3d-modeling-rhinoscript,Free / Paid,IBM Team,4.921568627,102,46,Advanced
Online Course,Coursera,3d-models-virtual-reality,Free / Paid,Google Cloud,4.6,176196,10,Beginner
Online Course,Coursera,3d-musculoskeletal-anatomy-physiology-interactive-course,Free / Paid,Meta AI,4.5,177716,13,Intermediate
3D Printing Hardware,Coursera,3d-print-hardware,Free / Paid,DeepLearning.AI,4.162162162,111,29,Intermediate
3D Printing Applications,Coursera,3d-printing-applications,Free / Paid,Andrew Ng,4.58224163,687,40,Advanced
Online Course,Coursera,3d-printing-capstone,Free / Paid,IBM Team,3.9,141962,59,Advanced
The 3D Printing Revolution,Coursera,3d-printing-revolution,Free / Paid,Meta AI,4.671445639,1674,33,Advanced
3D Printing Software,Coursera,3d-printing-software,Free / Paid,Microsoft Learn,4.617059891,551,59,Advanced
3D Printing Technology Deep Dive and Use Cases,Coursera,3d-printing-technology-deep-dive-and-use-cases,Free / Paid,Meta AI,4.724137931,29,40,Advanced
3D Reconstruction - Single Viewpoint ,Coursera,3d-reconstruction---single-viewpoint,Free / Paid,Meta AI,4.95,40,33,Advanced
3D Reconstruction - Multiple Viewpoints,Coursera,3d-reconstruction-multiple-viewpoints,Free / Paid,DeepLearning.AI,4.714285714,42,29,Intermediate
Online Course,Coursera,3d-respiratory-anatomy-physiology-interactive-course,Free / Paid,Meta AI,4.4,167594,39,Advanced
Online Course,Coursera,3d-specialized-anatomy-physiology-systems-interactive-course,Free / Paid,Google Cloud,3.6,389474,51,Advanced
Online Course,Coursera,3ds-max-architecture-model-refine-create,Free / Paid,Andrew Ng,4.1,434413,8,Beginner
Online Course,Coursera,3ds-max-architecture-model-texture-light,Free / Paid,Microsoft Learn,4.1,213489,16,Intermediate
Online Course,Coursera,3ds-max-character-modeling-build-refine,Free / Paid,Meta AI,3.9,482307,52,Advanced
Online Course,Coursera,3ds-max-character-outfit-design-build-refine-apply,Free / Paid,Google Cloud,4.9,431003,54,Advanced
Online Course,Coursera,3ds-max-hand-shoelace-modeling-refine-skills,Free / Paid,Google Cloud,4.8,24114,30,Intermediate
Online Course,Coursera,3ds-max-interior-design-model-arrange-refine,Free / Paid,Microsoft Learn,3.6,359929,60,Advanced
Online Course,Coursera,3ds-max-interior-design-model-create-spaces,Free / Paid,Industry Expert,3.7,410061,11,Intermediate
Online Course,Coursera,3ds-max-texturing-apply-create-refine,Free / Paid,DeepLearning.AI,3.5,367039,53,Advanced
Online Course,Coursera,3ds-max-uv-unwrapping-analyze-create-render,Free / Paid,Jose Portilla,4.2,363940,20,Intermediate
Online Course,Coursera,40-years-fighting-international-epidemics-in-the-field,Free / Paid,Google Cloud,5,57555,57,Advanced
4G Network Fundamentals,Coursera,4g-network-fundamentals,Free / Paid,Jose Portilla,4.712121212,132,24,Intermediate
5G Network Architecture and Protocols,Coursera,5g-mobile-networks-course-2,Free / Paid,DeepLearning.AI,4.666666667,21,46,Advanced
"Use Cases, the Future of 5G, and Beyond",Coursera,5g-mobile-networks-course-3,Free / Paid,DeepLearning.AI,4.736842105,19,35,Advanced
Online Course,Coursera,5g-mobile-networks-technology-architecture-and-protocols-first-course-1,Free / Paid,University Faculty,4.3,287791,46,Advanced
5G Network Fundamentals,Coursera,5g-network-fundamentals,Free / Paid,DeepLearning.AI,4.561403509,114,43,Advanced
Online Course,Coursera,5g-open-ran-essentials-architecture--ecosystem-basics,Free / Paid,Meta AI,3.9,234749,27,Intermediate
Online Course,Coursera,5g-training-qualcomm,Free / Paid,Industry Expert,3.8,287094,26,Intermediate
Online Course,Coursera,6g-deployment-testbeds-antenna-systems-and-digital-twins,Free / Paid,University Faculty,4.4,87903,53,Advanced
Online Course,Coursera,6g-evolution-blockchain-semantic-communications-and-radar,Free / Paid,IBM Team,3.5,72383,32,Advanced
Online Course,Coursera,6g-vision-ml-intelligent-surfaces-and-optical-networks,Free / Paid,Andrew Ng,3.6,476340,20,Intermediate
Online Course,Coursera,6min-micro-teaching,Free / Paid,IBM Team,4.4,198944,28,Intermediate
Online Course,Coursera,7-day-personal-branding-challenge-get-paid-to-be-you,Free / Paid,Google Cloud,3.6,93864,19,Intermediate
Online Course,Coursera,8-most-controversial-terms-in-ai-explained,Free / Paid,DeepLearning.AI,3.8,401126,5,Beginner
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Coursera,911-attack,Free / Paid,Microsoft Learn,4.689393939,132,55,Advanced
A Blueprint for Success â Your Video Pre-Production,Coursera,a-blueprint-for-success-your-video-pre-production,Free / Paid,DeepLearning.AI,4.539473684,76,55,Advanced
A General Approach to Risk Management,Coursera,a-general-approach-to-risk-management,Free / Paid,Microsoft Learn,4.911111111,45,57,Advanced
Online Course,Coursera,a-holistic-approach-to-mental-health,Free / Paid,Google Cloud,4.7,334135,53,Advanced
Online Course,Coursera,a-lideranca-do-gerente-de-projeto,Free / Paid,Andrew Ng,5,204293,33,Advanced
Online Course,Coursera,a-new-communication-framework-for-healthcare,Free / Paid,Google Cloud,3.7,378790,21,Intermediate
Online Course,Coursera,a-organizacao-centrada-na-jornada-do-cliente,Free / Paid,Microsoft Learn,4.4,147393,56,Advanced
A Practical Introduction to Test-Driven Development,Coursera,a-practical-introduction-to-test-driven-development,Free / Paid,DeepLearning.AI,3.75862069,29,21,Intermediate
Â¡A Programar! Una introducciÃ³n a la programaciÃ³n,Coursera,a-programar,Free / Paid,Google Cloud,4.790612395,2727,27,Intermediate
Online Course,Coursera,a-public-health-approach-to-hearing-loss-and-aging,Free / Paid,DeepLearning.AI,4.3,384499,14,Intermediate
A starterâs guide to Open Science,Coursera,a-starters-guide-to-open-science,Free / Paid,University Faculty,4.722222222,18,60,Advanced
A Strategic Approach to Cybersecurity,Coursera,a-strategic-approach-to-cybersecurity,Free / Paid,IBM Team,4.714285714,42,32,Advanced
"A tanulÃ¡s tanulÃ¡sa: HatÃ©kony mentÃ¡lis eszkÃ¶zÃ¶k, melyek segÃ­tenek megbirkÃ³zni a nehÃ©z tantÃ¡rgyakkal (Learning How to Learn)",Coursera,a-tanulas-tanulasa,Free / Paid,Microsoft Learn,4.925170068,441,40,Advanced
A Technical Leader's Qualities and Effectiveness,Coursera,a-technical-leaders-qualities-and-effectiveness,Free / Paid,Meta AI,4.789473684,19,47,Advanced
Online Course,Coursera,a-theoretical-origin-of-ethics-in-business-and-tech-industry,Free / Paid,Andrew Ng,4.1,420894,37,Advanced
Online Course,Coursera,a-turma-toda-com-simulacoes-phet-para-a-educao-stem,Free / Paid,DeepLearning.AI,4.9,393856,31,Advanced
Online Course,Coursera,aada-capstone,Free / Paid,IBM Team,4,490732,42,Advanced
Online Course,Coursera,aadcapstone,Free / Paid,Google Cloud,3.9,142874,43,Advanced
Learn SAP ABAP Fundamentals and Core Programming Concepts,Coursera,abap-fundamentals-and-core-programming,Free / Paid,Andrew Ng,4.111111111,18,11,Intermediate
El ABC de la sostenibilidad ,Coursera,abc-sostenibilidad,Free / Paid,Jose Portilla,4.799426934,349,17,Intermediate
The ABC of sustainability ,Coursera,abc-sustainability,Free / Paid,Jose Portilla,4.605263158,228,14,Intermediate
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.  ,Coursera,abdomen-anatomy,Free / Paid,Meta AI,4.750547046,457,59,Advanced
Introduction to Ableton Live,Coursera,ableton-live,Free / Paid,Meta AI,4.776186213,1117,20,Intermediate
Abordaje del riesgo suicida en adolescentes y jÃ³venes ,Coursera,abordaje-del-riesgo-suicida-en-adolescentes-y-jvenes,Free / Paid,Microsoft Learn,4.842696629,89,23,Intermediate
Aboriginal Worldviews and Education,Coursera,aboriginal-education,Free / Paid,DeepLearning.AI,4.672690763,498,50,Advanced
"Abstraction, Problem Decomposition, and Functions",Coursera,abstraction-problem-decomposition-functions,Free / Paid,IBM Team,4.648648649,37,16,Intermediate
Academic Discussions in English,Coursera,academic-discussion-english,Free / Paid,Meta AI,4.563492063,126,54,Advanced
Online Course,Coursera,academic-research-types-and-methods,Free / Paid,Google Cloud,4.4,17089,5,Beginner
Online Course,Coursera,academic-skills-project,Free / Paid,IBM Team,3.7,1414,38,Advanced
Academic Success for English Learners,Coursera,academic-success-for-english-learners,Free / Paid,Jose Portilla,4.636363636,11,50,Advanced
Online Course,Coursera,academic-writing-capstone,Free / Paid,Industry Expert,4.2,421622,30,Intermediate
Academic Information Seeking,Coursera,academicinfoseek,Free / Paid,DeepLearning.AI,4.703655352,766,19,Intermediate
Online Course,Coursera,accelerate-app-development-with-gemini-cli,Free / Paid,Microsoft Learn,3.6,280674,36,Advanced
Online Course,Coursera,accelerate-knowledge-exchange-with-agentspace-ja,Free / Paid,Jose Portilla,3.9,372361,22,Intermediate
Online Course,Coursera,accelerate-knowledge-exchange-with-agentspace-ko,Free / Paid,University Faculty,3.5,76453,29,Intermediate
Online Course,Coursera,accelerate-knowledge-exchange-with-agentspace-zhcn,Free / Paid,University Faculty,4,465272,12,Intermediate
Online Course,Coursera,accelerate-knowledge-exchange-with-agentspace-zhtw,Free / Paid,IBM Team,3.5,309310,38,Advanced
Accelerate Your Job Search with AI,Coursera,accelerate-your-job-search-with-ai,Free / Paid,Andrew Ng,4.795593977,3586,11,Intermediate
Access Control Concepts,Coursera,access-control-concepts,Free / Paid,University Faculty,4.792682927,164,60,Advanced
Access Control,Coursera,access-controls,Free / Paid,IBM Team,4.516129032,31,45,Advanced
An Introduction to Accessibility and Inclusive Design,Coursera,accessibility,Free / Paid,Andrew Ng,4.662601626,246,12,Intermediate
Accessibility to the Scenic Arts,Coursera,accessibility-scenic-arts,Free / Paid,Jose Portilla,4.735294118,34,42,Advanced
Online Course,Coursera,accessible-technology-for-inclusion,Free / Paid,Jose Portilla,4.8,349410,33,Advanced
AcciÃ³n Comunitaria. Enfoques para la transformaciÃ³n social,Coursera,accion-comunitaria,Free / Paid,Microsoft Learn,4.704225352,71,35,Advanced
Online Course,Coursera,acclrer-lchange-de-connaissances-avec-agentspace,Free / Paid,Google Cloud,3.5,196580,5,Beginner
Account Management & Sales Force Design,Coursera,account-management,Free / Paid,Microsoft Learn,4.463576159,302,15,Intermediate
Accountability y gestiÃ³n del desempeÃ±o,Coursera,accountability,Free / Paid,Industry Expert,4.74025974,77,27,Intermediate
Accountability and Employee Engagement,Coursera,accountability-employee-engagement,Free / Paid,IBM Team,4.666666667,12,22,Intermediate
Accounting for Decision Making,Coursera,accounting,Free / Paid,University Faculty,4.746835443,474,38,Advanced
Accounting 1,Coursera,accounting-1,Free / Paid,Microsoft Learn,4.726950355,282,26,Intermediate
Accounting 2,Coursera,accounting-2,Free / Paid,IBM Team,4.869565217,69,54,Advanced
Accounting Analysis II: Accounting for Liabilities and Equity,Coursera,accounting-analysis-2-equity,Free / Paid,DeepLearning.AI,4.7,110,41,Advanced
Accounting Analysis II: Measurement and Disclosure of Liabilities,Coursera,accounting-analysis-2-liabilities,Free / Paid,Jose Portilla,4.661538462,130,18,Intermediate
Accounting Analytics,Coursera,accounting-analytics,Free / Paid,Google Cloud,4.46543169,3023,13,Intermediate
Fundamentals of Accounting and Reporting,Coursera,accounting-and-reporting-fundamentals,Free / Paid,Meta AI,4.585798817,169,34,Advanced
Assets in Accounting,Coursera,accounting-assets,Free / Paid,IBM Team,4.443028486,1334,11,Intermediate
Online Course,Coursera,accounting-balance-ledgers--adjust-entries,Free / Paid,Jose Portilla,4.8,391695,26,Intermediate
Online Course,Coursera,accounting-cycle,Free / Paid,University Faculty,4.4,214323,55,Advanced
Accounting Data Analytics with Python,Coursera,accounting-data-analytics-python,Free / Paid,Microsoft Learn,4.412844037,109,19,Intermediate
Online Course,Coursera,accounting-data-entry-speedily,Free / Paid,Andrew Ng,3.6,34070,14,Intermediate
ÙØ­Ø§Ø³Ø¨Ø© Ø§ÙÙØ®Ø²ÙÙ | Accounting for inventory,Coursera,accounting-for-inventory,Free / Paid,University Faculty,4.777777778,36,60,Advanced
Online Course,Coursera,accounting-for-ma-1,Free / Paid,Andrew Ng,4.5,409641,40,Advanced
Accounting for Mergers and Acquisitions: Advanced Topics,Coursera,accounting-for-ma-2,Free / Paid,Google Cloud,4.52,25,29,Intermediate
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",Coursera,accounting-for-managers,Free / Paid,Andrew Ng,4.73040293,1365,56,Advanced
Online Course,Coursera,accounting-for-marketable-securities,Free / Paid,Google Cloud,4,447649,31,Advanced
ÙØ­Ø§Ø³Ø¨Ø© Ø§ÙÙÙØªÙÙØ§Øª ÙØ§ÙÙÙØ´Ø¢Øª ÙØ§ÙÙØ¹Ø¯Ø§Øª,Coursera,accounting-for-property-plant-and-equipment,Free / Paid,Andrew Ng,4.75,16,6,Beginner
Online Course,Coursera,accounting-for-receivable--bad-debts,Free / Paid,Industry Expert,3.7,52275,17,Intermediate
Ø§ÙÙØ­Ø§Ø³Ø¨Ø© Ø¹Ù Ø­ÙÙÙ Ø§ÙÙØ³Ø§ÙÙÙÙ,Coursera,accounting-for-shareholders-equity,Free / Paid,University Faculty,4.8,10,57,Advanced
Fundamentals of Accounting Capstone,Coursera,accounting-fundamentals-project,Free / Paid,Google Cloud,4.677419355,124,52,Advanced
Accounting Analysis I: The Role of Accounting as an Information System,Coursera,accounting-information-system,Free / Paid,Meta AI,4.779614325,726,10,Beginner
Ø§ÙÙØ¨Ø§Ø¯Ø¦ Ø§ÙÙØ­Ø§Ø³Ø¨ÙØ© ÙÙ Ø§ÙØªÙØ§Ø±ÙØ± ÙØ§ÙÙÙØ§Ø¦Ù Ø§ÙÙØ§ÙÙØ©,Coursera,accounting-standards-in-financial-reports-and-statement,Free / Paid,Meta AI,4.703125,64,27,Intermediate
Principles of Accounts Payable and Receivable Management ,Coursera,accounts-payable-and-receivable-management,Free / Paid,Jose Portilla,4.594202899,69,51,Advanced
Online Course,Coursera,ace-the-computer-science-interview-strategies-for-success,Free / Paid,Andrew Ng,4.5,114588,21,Intermediate
Online Course,Coursera,acelera-el-intercambio-de-conocimientos-con-agentspace,Free / Paid,Microsoft Learn,4.2,434700,59,Advanced
Online Course,Coursera,acelere-a-troca-de-conhecimento-com-o-agentspace,Free / Paid,Industry Expert,4.9,47321,9,Beginner
ØªØ­ÙÙÙ Ø§ÙØ³Ø¹Ø§Ø¯Ø© ÙÙ Ø¨ÙØ¦Ø© Ø§ÙØ¹ÙÙ | Achieving Happiness at Work,Coursera,achieving-happiness-at-work,Free / Paid,IBM Team,4.938209332,793,17,Intermediate
Online Course,Coursera,achieving-health-equity-in-healthcare,Free / Paid,Google Cloud,4.9,199051,25,Intermediate
Online Course,Coursera,achieving-longevity-through-movement,Free / Paid,Industry Expert,4.6,460094,8,Beginner
Achieving Supplier Diversity,Coursera,achieving-supplier-diversity,Free / Paid,Andrew Ng,5,10,14,Intermediate
Acing the Product Management Interview,Coursera,acing-product-management-interviews,Free / Paid,Industry Expert,4.634146341,123,50,Advanced
"Act on Climate: Steps to Individual, Community, and Political Action",Coursera,act-on-climate,Free / Paid,University Faculty,4.752525253,198,23,Intermediate
Digital business - Act on the digital world,Coursera,act-on-digital-world,Free / Paid,DeepLearning.AI,4.607142857,28,47,Advanced
Online Course,Coursera,act-strategically,Free / Paid,Google Cloud,4,234950,50,Advanced
Online Course,Coursera,acting-skills-business-communication-leadership,Free / Paid,Meta AI,4.7,311620,34,Advanced
Foundations for Active Learning in STEM Courses,Coursera,active-learning-in-stem-courses,Free / Paid,IBM Team,5,10,33,Advanced
Online Course,Coursera,active-listening-enhancing-communication-skills,Free / Paid,Industry Expert,4.3,139014,58,Advanced
ART of the MOOC: Activism and Social Movements,Coursera,activism-social-movements,Free / Paid,University Faculty,4.549668874,151,41,Advanced
Activism in Sports and Culture  ,Coursera,activism-sports-culture,Free / Paid,Jose Portilla,4.882352941,17,12,Intermediate
ART of the MOOC: Activismo y Movimientos Sociales,Coursera,activismo-movimientos-sociales,Free / Paid,Microsoft Learn,4.592592593,27,15,Intermediate
Online Course,Coursera,activity-based-costing,Free / Paid,Jose Portilla,4.5,354817,59,Advanced
Online Course,Coursera,activity-design-with-phet-simulations-for-stem-education,Free / Paid,DeepLearning.AI,4.7,129693,60,Advanced
Online Course,Coursera,activos-amenazas-y-vulnerabilidades,Free / Paid,University Faculty,4.5,223846,49,Advanced
Online Course,Coursera,actors-discuss-romeo-and-juliet,Free / Paid,University Faculty,3.9,421224,26,Intermediate
ActÃºa ante el dolor crÃ³nico,Coursera,actua-dolor-cronico,Free / Paid,Meta AI,4.606164384,292,30,Intermediate
ActualizaciÃ³n en el manejo del paciente con diabetes mellitus tipo 2,Coursera,actualizacion-manejo-diabetes-tipo-2,Free / Paid,Industry Expert,4.850377488,1457,20,Intermediate
Acupressure Essentials: Pressure Point Techniques for Symptom Management and Self-Care,Coursera,acupressure,Free / Paid,Andrew Ng,4.775,40,23,Intermediate
Online Course,Coursera,acupuncture-techniques-common-conditions,Free / Paid,Jose Portilla,5,298971,37,Advanced
 Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,Coursera,acute-stroke-race-scale,Free / Paid,Industry Expert,4.837398374,123,8,Beginner
Adaptability and Resiliency,Coursera,adaptability-and-resiliency,Free / Paid,Google Cloud,4.748704663,772,37,Advanced
Online Course,Coursera,adapting-your-3d-skills-3d-animation-from-blender-to-maya,Free / Paid,Andrew Ng,4.5,289518,52,Advanced
The Addicted Brain,Coursera,addiction-and-the-brain,Free / Paid,University Faculty,4.655049151,2238,11,Intermediate
Addiction Treatment: Clinical Skills for Healthcare Providers,Coursera,addiction-treatment,Free / Paid,IBM Team,4.850329782,1971,14,Intermediate
Adding Electronics to Rapid Prototypes,Coursera,adding-electronics-to-rapid-prototypes,Free / Paid,Andrew Ng,4.894736842,19,59,Advanced
Online Course,Coursera,additional-process-techniques-in-microfabrication,Free / Paid,Industry Expert,4.5,145356,48,Advanced
