Title,Platform,Category,Price,Instructor,Rating,Learners,Duration_Hours,Difficulty,Price_Type,Success_Score,Success
"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",0,54,Free / Paid,1,4.322368421,152,23,2,0,2.5946376755109304,0
20ä¸çºªè¥¿æ¹é³ä¹ Western Music in the 20th Century,0,55,Free / Paid,1,4.471698113,53,34,0,0,2.683443084999206,0
21st Century Energy Transition: how do we make it work?,0,56,Free / Paid,8,4.792079208,101,5,1,0,2.8760559387079208,0
å·¥ç¨åå­¸ 2D CAD,0,57,Free / Paid,7,4.762331839,223,49,0,0,2.859184017275904,0
VR and 360 Video Production,0,58,Free / Paid,3,4.655133929,896,57,0,0,2.8002520292960105,0
Foundations of Human Anatomy and Physiology,0,59,Free / Paid,2,4.939393939,33,12,2,0,2.9639004986372415,0
Online Course,0,60,Free / Paid,6,3.9,236559,8,1,0,4.2334414420183135,1
å·¥ç¨åå­¸ 3D CAD,0,61,Free / Paid,5,4.819148936,94,55,0,0,2.8922417468212336,0
3D CAD Application,0,62,Free / Paid,2,4.833333333,162,50,0,0,2.9012966636919124,0
3D CAD Fundamental,0,63,Free / Paid,5,4.603576751,671,23,2,0,2.76751680042391,0
Online Course,0,64,Free / Paid,7,3.7,9183,34,0,0,2.293501632836012,0
Online Course,0,65,Free / Paid,5,4.0,445671,47,0,0,5.967194403534609,1
"3D Design in Blender: Learn, Create & Build",0,66,Free / Paid,0,5.0,12,15,2,0,3.000096049177179,1
Online Course,0,67,Free / Paid,3,4.5,217712,29,2,0,4.442588205161043,1
Current Gen 3D Game Prop Production,0,68,Free / Paid,2,4.803921569,51,31,0,0,2.8827611504030095,0
Online Course,0,69,Free / Paid,5,4.0,289450,39,0,0,4.7167861945316005,1
3D Graphics in Android: Sensors and VR,0,70,Free / Paid,1,4.625,16,27,2,0,2.7751280655695716,0
Online Course,0,71,Free / Paid,0,4.1,413647,15,2,0,5.7708711660370104,1
3D Interaction Design in Virtual Reality,0,72,Free / Paid,1,4.592592593,135,21,2,0,2.7566361090432605,0
Online Course,0,73,Free / Paid,7,4.8,334894,49,0,0,5.560524428507396,1
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,0,74,Free / Paid,3,4.921568627,102,46,0,0,2.953757594206019,0
Online Course,0,75,Free / Paid,2,4.6,176196,10,1,0,4.170290068515079,1
Online Course,0,76,Free / Paid,6,4.5,177716,13,2,0,4.1224562976243835,1
3D Printing Hardware,0,77,Free / Paid,1,4.162162162,111,29,2,0,2.4981857520889035,0
3D Printing Applications,0,78,Free / Paid,0,4.58224163,687,40,0,0,2.7548437933934817,0
Online Course,0,79,Free / Paid,3,3.9,141962,59,0,0,3.4762777742204007,1
The 3D Printing Revolution,0,80,Free / Paid,6,4.671445639,1674,33,0,0,2.8162662436164307,0
3D Printing Software,0,81,Free / Paid,7,4.617059891,551,59,0,0,2.774646192652123,0
3D Printing Technology Deep Dive and Use Cases,0,82,Free / Paid,6,4.724137931,29,40,0,0,2.8347148774448483,0
3D Reconstruction - Single Viewpoint ,0,83,Free / Paid,6,4.95,40,33,0,0,2.970320163923929,0
3D Reconstruction - Multiple Viewpoints,0,84,Free / Paid,1,4.714285714,42,29,2,0,2.8289076005201252,0
Online Course,0,85,Free / Paid,6,4.4,167594,39,0,0,3.981438816674137,1
Online Course,0,86,Free / Paid,2,3.6,389474,51,0,0,5.277388102708587,1
Online Course,0,87,Free / Paid,0,4.1,434413,8,1,0,5.937084267144778,1
Online Course,0,88,Free / Paid,7,4.1,213489,16,2,0,4.1687868988922325,1
Online Course,0,89,Free / Paid,6,3.9,482307,52,0,0,6.200432541461228,1
Online Course,0,90,Free / Paid,2,4.9,431003,54,0,0,6.389790292629826,1
Online Course,0,91,Free / Paid,2,4.8,24114,30,2,0,3.073010821540629,1
Online Course,0,92,Free / Paid,7,3.6,359929,60,0,0,5.040907024396491,1
Online Course,0,93,Free / Paid,4,3.7,410061,11,2,0,5.5021684702567715,1
Online Course,0,94,Free / Paid,1,3.5,367039,53,0,0,5.03781616187488,1
Online Course,0,95,Free / Paid,5,4.2,363940,20,2,0,5.433011461868476,1
Online Course,0,96,Free / Paid,2,5.0,57555,57,0,0,3.460675866043414,1
4G Network Fundamentals,0,97,Free / Paid,5,4.712121212,132,24,2,0,2.8283292681489653,0
5G Network Architecture and Protocols,0,98,Free / Paid,1,4.666666667,21,46,0,0,2.800168086260063,0
"Use Cases, the Future of 5G, and Beyond",0,99,Free / Paid,1,4.736842105,19,35,0,0,2.8422573408638665,0
Online Course,0,100,Free / Paid,8,4.3,287791,46,0,0,4.883507395786642,1
5G Network Fundamentals,0,101,Free / Paid,1,4.561403509,114,43,0,0,2.7377545725831975,0
Online Course,0,102,Free / Paid,6,3.9,234749,27,2,0,4.2189540244605235,1
Online Course,0,103,Free / Paid,4,3.8,287094,26,2,0,4.577928539412179,1
Online Course,0,104,Free / Paid,8,4.4,87903,53,0,0,3.343584235128386,1
Online Course,0,105,Free / Paid,3,3.5,72383,32,0,0,2.6793606326439137,0
Online Course,0,106,Free / Paid,0,3.6,476340,20,2,0,5.972672088109112,1
Online Course,0,107,Free / Paid,3,4.4,198944,28,2,0,4.232367292053532,1
Online Course,0,108,Free / Paid,2,3.6,93864,19,2,0,2.9112966638919127,0
Online Course,0,109,Free / Paid,1,3.8,401126,5,1,0,5.490651853749119,1
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,0,110,Free / Paid,7,4.689393939,132,55,0,0,2.814692904348966,0
A Blueprint for Success â Your Video Pre-Production,0,111,Free / Paid,1,4.539473684,76,55,0,0,2.7242925218554648,0
A General Approach to Risk Management,0,112,Free / Paid,7,4.911111111,45,57,0,0,2.9470268510144204,0
Online Course,0,113,Free / Paid,2,4.7,334135,53,0,0,5.494449318050842,1
Online Course,0,114,Free / Paid,0,5.0,204293,33,0,0,4.635181212780944,1
Online Course,0,115,Free / Paid,2,3.7,378790,21,2,0,5.251872318627138,1
Online Course,0,116,Free / Paid,7,4.4,147393,56,0,0,3.819748030991868,1
A Practical Introduction to Test-Driven Development,0,117,Free / Paid,1,3.75862069,29,21,2,0,2.2554045328448487,0
Â¡A Programar! Una introducciÃ³n a la programaciÃ³n,0,118,Free / Paid,2,4.790612395,2727,27,2,0,2.896194612513863,0
Online Course,0,119,Free / Paid,1,4.3,384499,14,2,0,5.657567714669911,1
A starterâs guide to Open Science,0,120,Free / Paid,8,4.722222222,18,60,0,0,2.833477406965768,0
A Strategic Approach to Cybersecurity,0,121,Free / Paid,3,4.714285714,42,32,0,0,2.8289076005201252,0
"A tanulÃ¡s tanulÃ¡sa: HatÃ©kony mentÃ¡lis eszkÃ¶zÃ¶k, melyek segÃ­tenek megbirkÃ³zni a nehÃ©z tantÃ¡rgyakkal (Learning How to Learn)",0,122,Free / Paid,7,4.925170068,441,40,0,0,2.9586318480613176,0
A Technical Leader's Qualities and Effectiveness,0,123,Free / Paid,6,4.789473684,19,47,0,0,2.8738362882638664,0
Online Course,0,124,Free / Paid,0,4.1,420894,37,0,0,5.828876864954856,1
Online Course,0,125,Free / Paid,1,4.9,393856,31,0,0,6.092462060575015,1
Online Course,0,126,Free / Paid,3,4.0,490732,42,0,0,6.327867067938785,1
Online Course,0,127,Free / Paid,2,3.9,142874,43,0,0,3.483577511685983,1
Learn SAP ABAP Fundamentals and Core Programming Concepts,0,128,Free / Paid,0,4.111111111,18,11,2,0,2.4668107403657675,0
El ABC de la sostenibilidad ,0,129,Free / Paid,5,4.799426934,349,17,2,0,2.882449590636281,0
The ABC of sustainability ,0,130,Free / Paid,5,4.605263158,228,14,2,0,2.764982829166395,0
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.  ,0,131,Free / Paid,6,4.750547046,457,59,0,0,2.8539861004308893,0
Introduction to Ableton Live,0,132,Free / Paid,6,4.776186213,1117,20,2,0,2.8746523053757187,0
Abordaje del riesgo suicida en adolescentes y jÃ³venes ,0,133,Free / Paid,7,4.842696629,89,23,2,0,2.906330342130742,0
Aboriginal Worldviews and Education,0,134,Free / Paid,1,4.672690763,498,50,0,0,2.807600498652917,0
"Abstraction, Problem Decomposition, and Functions",0,135,Free / Paid,3,4.648648649,37,16,2,0,2.7894853410296343,0
Academic Discussions in English,0,136,Free / Paid,6,4.563492063,126,54,0,0,2.7391037541603764,0
Online Course,0,137,Free / Paid,2,4.4,17089,5,1,0,2.776782032400589,0
Online Course,0,138,Free / Paid,3,3.7,1414,38,0,0,2.231317794710892,0
Academic Success for English Learners,0,139,Free / Paid,5,4.636363636,11,50,0,0,2.78190622667908,0
Online Course,0,140,Free / Paid,4,4.2,421622,30,2,0,5.894703848370366,1
Academic Information Seeking,0,141,Free / Paid,1,4.703655352,766,19,2,0,2.8283243503432414,0
Online Course,0,142,Free / Paid,7,3.6,280674,36,0,0,4.406542229621566,1
Online Course,0,143,Free / Paid,5,3.9,372361,22,2,0,5.32041397195364,1
Online Course,0,144,Free / Paid,8,3.5,76453,29,2,0,2.7119373119036947,0
Online Course,0,145,Free / Paid,8,4.0,465272,12,2,0,6.124082730357943,1
Online Course,0,146,Free / Paid,3,3.5,309310,38,0,0,4.575747582762375,1
Accelerate Your Job Search with AI,0,147,Free / Paid,0,4.795593977,3586,11,2,0,2.90605908198024,0
Access Control Concepts,0,148,Free / Paid,8,4.792682927,164,60,0,0,2.8769224282881094,0
Access Control,0,149,Free / Paid,3,4.516129032,31,45,0,0,2.709925546241045,0
An Introduction to Accessibility and Inclusive Design,0,150,Free / Paid,0,4.662601626,246,12,2,0,2.7995299837321634,0
Accessibility to the Scenic Arts,0,151,Free / Paid,5,4.735294118,34,42,0,0,2.8414486101353393,0
Online Course,0,152,Free / Paid,5,4.8,349410,33,0,0,5.676711916501249,1
AcciÃ³n Comunitaria. Enfoques para la transformaciÃ³n social,0,153,Free / Paid,7,4.704225352,71,35,0,0,2.823103502164974,0
Online Course,0,154,Free / Paid,2,3.5,196580,5,1,0,3.6734456041493244,1
Account Management & Sales Force Design,0,155,Free / Paid,7,4.463576159,302,15,2,0,2.680562933025664,0
Accountability y gestiÃ³n del desempeÃ±o,0,156,Free / Paid,4,4.74025974,77,27,2,0,2.844772159553563,0
Accountability and Employee Engagement,0,157,Free / Paid,3,4.666666667,12,22,2,0,2.800096049377179,0
Accounting for Decision Making,0,158,Free / Paid,8,4.746835443,474,38,0,0,2.851895208298559,0
Accounting 1,0,159,Free / Paid,7,4.726950355,282,26,2,0,2.8384273686636994,0
Accounting 2,0,160,Free / Paid,3,4.869565217,69,54,0,0,2.9222914129687774,0
Accounting Analysis II: Accounting for Liabilities and Equity,0,161,Free / Paid,1,4.7,110,41,0,0,2.8208804507908045,0
Accounting Analysis II: Measurement and Disclosure of Liabilities,0,162,Free / Paid,5,4.661538462,130,18,2,0,2.79796360995277,0
Accounting Analytics,0,163,Free / Paid,2,4.46543169,3023,13,2,0,2.703455402550938,0
Fundamentals of Accounting and Reporting,0,164,Free / Paid,6,4.585798817,169,34,0,0,2.7528319827786,0
Assets in Accounting,0,165,Free / Paid,3,4.443028486,1334,11,2,0,2.676494558463034,0
Online Course,0,166,Free / Paid,5,4.8,391695,26,2,0,6.015165204584747,1
Online Course,0,167,Free / Paid,8,4.4,214323,55,0,0,4.355462316706154,1
Accounting Data Analytics with Python,0,168,Free / Paid,7,4.412844037,109,19,2,0,2.6485788688927068,0
Online Course,0,169,Free / Paid,0,3.6,34070,14,2,0,2.4326996222065698,0
ÙØ­Ø§Ø³Ø¨Ø© Ø§ÙÙØ®Ø²ÙÙ | Accounting for inventory,0,170,Free / Paid,8,4.777777778,36,60,0,0,2.866954814331536,0
Online Course,0,171,Free / Paid,0,4.5,409641,40,0,0,5.978806749055517,1
Accounting for Mergers and Acquisitions: Advanced Topics,0,172,Free / Paid,2,4.52,25,29,2,0,2.7122001024524556,0
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",0,173,Free / Paid,0,4.73040293,1365,56,0,0,2.849167351904079,0
Online Course,0,174,Free / Paid,2,4.0,447649,31,0,0,5.983026509572902,1
ÙØ­Ø§Ø³Ø¨Ø© Ø§ÙÙÙØªÙÙØ§Øª ÙØ§ÙÙÙØ´Ø¢Øª ÙØ§ÙÙØ¹Ø¯Ø§Øª,0,175,Free / Paid,0,4.75,16,6,1,0,2.8501280655695718,0
Online Course,0,176,Free / Paid,4,3.7,52275,17,2,0,2.6384142280847795,0
Ø§ÙÙØ­Ø§Ø³Ø¨Ø© Ø¹Ù Ø­ÙÙÙ Ø§ÙÙØ³Ø§ÙÙÙÙ,0,177,Free / Paid,8,4.8,10,57,0,0,2.880080040980982,0
Fundamentals of Accounting Capstone,0,178,Free / Paid,2,4.677419355,124,52,0,0,2.80744412116418,0
Accounting Analysis I: The Role of Accounting as an Information System,0,179,Free / Paid,6,4.779614325,726,10,1,0,2.873579570219312,0
Ø§ÙÙØ¨Ø§Ø¯Ø¦ Ø§ÙÙØ­Ø§Ø³Ø¨ÙØ© ÙÙ Ø§ÙØªÙØ§Ø±ÙØ± ÙØ§ÙÙÙØ§Ø¦Ù Ø§ÙÙØ§ÙÙØ©,0,180,Free / Paid,6,4.703125,64,27,2,0,2.822387262278286,0
Principles of Accounts Payable and Receivable Management ,0,181,Free / Paid,5,4.594202899,69,51,0,0,2.7570740221687773,0
Online Course,0,182,Free / Paid,0,4.5,114588,21,2,0,3.617173592879554,1
Online Course,0,183,Free / Paid,7,4.2,434700,59,0,0,5.999381443298969,1
Online Course,0,184,Free / Paid,4,4.9,47321,9,1,0,3.3187619261061663,1
ØªØ­ÙÙÙ Ø§ÙØ³Ø¹Ø§Ø¯Ø© ÙÙ Ø¨ÙØ¦Ø© Ø§ÙØ¹ÙÙ | Achieving Happiness at Work,0,185,Free / Paid,3,4.938209332,793,17,2,0,2.969272848991893,0
Online Course,0,186,Free / Paid,2,4.9,199051,25,2,0,4.533223730550041,1
Online Course,0,187,Free / Paid,4,4.6,460094,8,1,0,6.442637510405327,1
Achieving Supplier Diversity,0,188,Free / Paid,0,5.0,10,14,2,0,3.0000800409809822,1
Acing the Product Management Interview,0,189,Free / Paid,4,4.634146341,123,50,0,0,2.7814723086660815,0
"Act on Climate: Steps to Individual, Community, and Political Action",0,190,Free / Paid,8,4.752525253,198,23,2,0,2.8530999632234484,0
Digital business - Act on the digital world,0,191,Free / Paid,1,4.607142857,28,47,0,0,2.7645098289467507,0
Online Course,0,192,Free / Paid,2,4.0,234950,50,0,0,4.280562848178267,1
Online Course,0,193,Free / Paid,6,4.7,311620,34,0,0,5.314237049369277,1
Foundations for Active Learning in STEM Courses,0,194,Free / Paid,3,5.0,10,33,0,0,3.0000800409809822,1
Online Course,0,195,Free / Paid,4,4.3,139014,58,0,0,3.692681693026829,1
ART of the MOOC: Activism and Social Movements,0,196,Free / Paid,8,4.549668874,151,41,0,0,2.731009943212832,0
Activism in Sports and Culture  ,0,197,Free / Paid,5,4.882352941,17,12,2,0,2.9295478342676695,0
ART of the MOOC: Activismo y Movimientos Sociales,0,198,Free / Paid,7,4.592592593,27,15,2,0,2.755771666448652,0
Online Course,0,199,Free / Paid,5,4.5,354817,59,0,0,5.539990074918358,1
Online Course,0,200,Free / Paid,1,4.7,129693,60,0,0,3.8580754946532623,1
Online Course,0,201,Free / Paid,8,4.5,223846,49,0,0,4.491685342895562,1
Online Course,0,202,Free / Paid,8,3.9,421224,26,2,0,5.711518217327272,1
ActÃºa ante el dolor crÃ³nico,0,203,Free / Paid,6,4.606164384,292,30,2,0,2.766035827044682,0
ActualizaciÃ³n en el manejo del paciente con diabetes mellitus tipo 2,0,204,Free / Paid,4,4.850377488,1457,20,2,0,2.921888463729116,0
Acupressure Essentials: Pressure Point Techniques for Symptom Management and Self-Care,0,205,Free / Paid,0,4.775,40,23,2,0,2.865320163923929,0
Online Course,0,206,Free / Paid,5,5.0,298971,37,0,0,5.392993212524813,1
 Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,0,207,Free / Paid,4,4.837398374,123,8,1,0,2.9034235284660816,0
Adaptability and Resiliency,0,208,Free / Paid,2,4.748704663,772,37,0,0,2.8554019615318307,0
Online Course,0,209,Free / Paid,0,4.5,289518,52,0,0,5.017330473202279,1
The Addicted Brain,0,210,Free / Paid,8,4.655049151,2238,11,2,0,2.8109426621438303,0
Addiction Treatment: Clinical Skills for Healthcare Providers,0,211,Free / Paid,3,4.850329782,1971,14,2,0,2.925973946551604,0
Adding Electronics to Rapid Prototypes,0,212,Free / Paid,0,4.894736842,19,59,0,0,2.9369941830638666,0
Online Course,0,213,Free / Paid,4,4.5,145356,48,0,0,3.8634436831657806,1
Online Course,0,214,Free / Paid,0,4.6,190977,38,0,0,4.2885986425049625,1
Online Course,0,215,Free / Paid,3,4.9,382310,27,2,0,6.000046743932893,1
Online Course,0,216,Free / Paid,1,5.0,42369,15,2,0,3.33912563232375,1
ADHD: Everyday Strategies for Elementary Students,0,217,Free / Paid,4,4.710798511,2417,38,0,0,2.845825011703413,0
Adjectives and Adjective Clauses,0,218,Free / Paid,3,4.793103448,1247,35,0,0,2.8858431791284884,0
Online Course,0,219,Free / Paid,5,4.1,130296,33,0,0,3.502901965806492,1
AdministraÃ§Ã£o Financeira,0,220,Free / Paid,2,4.836012862,933,18,2,0,2.909075540725645,0
AdministraciÃ³n Ã¡gil de proyectos,0,221,Free / Paid,8,4.85046729,107,45,0,0,2.9111368124965105,0
Online Course,0,222,Free / Paid,2,4.5,212292,28,2,0,4.399205993468655,1
Online Course,0,223,Free / Paid,4,4.5,395362,9,1,0,5.864516232310943,1
Online Course,0,224,Free / Paid,2,4.9,157117,47,0,0,4.197579880899021,1
AdministraciÃ³n de Recursos Humanos,0,225,Free / Paid,0,4.836100696,1867,27,2,0,2.9166040687493884,0
Online Course,0,226,Free / Paid,6,3.6,294526,21,2,0,4.517414996478196,1
AdministraciÃ³n efectiva del tiempo,0,227,Free / Paid,2,4.730088496,226,19,2,0,2.839862023770199,0
AdministraciÃ³n EstratÃ©gica y Emprendedora,0,228,Free / Paid,2,4.683989941,1193,23,2,0,2.8199428536311837,0
AdministraciÃ³n de las TecnologÃ­as de la InformaciÃ³n,0,229,Free / Paid,6,4.848275862,435,40,0,0,2.912447299872728,0
Online Course,0,230,Free / Paid,4,4.5,274644,47,0,0,4.8982775180892615,1
Online Course,0,231,Free / Paid,3,4.1,498288,50,0,0,6.448346033168982,1
Online Course,0,232,Free / Paid,1,4.1,130192,37,0,0,3.502069539604277,1
AdministraciÃ³n financiera y su funciÃ³n en la empresa ,0,233,Free / Paid,8,4.804571429,1750,43,0,0,2.896750029071896,0
Online Course,0,234,Free / Paid,2,4.9,200776,56,0,0,4.547030799769482,1
Online Course,0,235,Free / Paid,8,3.7,127144,34,0,0,3.237673048600884,1
Online Course,0,236,Free / Paid,1,4.7,252907,26,2,0,4.844292437728116,1
Online Course,0,237,Free / Paid,7,5.0,472553,50,0,0,6.782360568611129,1
Online Course,0,238,Free / Paid,6,3.8,384384,38,0,0,5.356647243388615,1
Online Course,0,239,Free / Paid,5,3.8,482233,27,2,0,6.139840238201959,1
Online Course,0,240,Free / Paid,8,4.3,125345,59,0,0,3.5832736761221744,1
Online Course,0,241,Free / Paid,5,3.6,135803,43,0,0,3.2469805340334252,1
Online Course,0,242,Free / Paid,6,4.3,67148,56,0,0,3.117459179099699,1
Online Course,0,243,Free / Paid,2,4.5,456775,30,2,0,6.356071908817315,1
Online Course,0,244,Free / Paid,3,4.5,167252,11,2,0,4.038701415124543,1
Online Course,0,245,Free / Paid,2,5.0,119167,46,0,0,3.9538243580713326,1
Online Course,0,246,Free / Paid,8,3.6,479340,53,0,0,5.9966843824037905,1
Online Course,0,247,Free / Paid,6,4.5,370199,52,0,0,5.663109111865275,1
Online Course,0,248,Free / Paid,2,4.9,170724,42,0,0,4.306491643721586,1
Online Course,0,249,Free / Paid,8,3.8,291044,58,0,0,4.609544726900173,1
Online Course,0,250,Free / Paid,7,4.4,192519,30,2,0,4.180940961772428,1
Online Course,0,251,Free / Paid,2,4.5,140191,38,0,0,3.822102516488442,1
Online Course,0,252,Free / Paid,7,4.4,222022,55,0,0,4.417085867964397,1
Online Course,0,253,Free / Paid,6,4.1,296621,33,0,0,4.8341835819939805,1
Advancing Proficiency in U.S. Payroll Fundamentals,0,254,Free / Paid,4,4.88,50,25,2,0,2.928400204904911,0
"Benefits: Financial Protection, Growth & Assistance",0,255,Free / Paid,6,4.923076923,13,50,0,0,2.953950207075277,0
Online Course,0,256,Free / Paid,4,4.7,23843,41,0,0,3.0108417109560093,1
Online Course,0,257,Free / Paid,6,4.7,423087,59,0,0,6.206429852084267,1
Essential Skills for Comp & Benefits Professionals,0,258,Free / Paid,3,4.421052632,19,47,0,0,2.6527836570638663,0
Online Course,0,259,Free / Paid,2,4.2,86457,21,2,0,3.2120103092783507,1
Online Course,0,260,Free / Paid,4,5.0,250432,6,1,0,5.0044822949350065,1
Online Course,0,261,Free / Paid,8,4.5,314236,26,2,0,5.215175769994237,1
The Payroll Cycle,0,262,Free / Paid,4,4.703703704,108,18,2,0,2.8230866649946083,0
The Payroll Professional,0,263,Free / Paid,3,4.704797048,542,50,0,0,2.8272164499692383,0
